Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20
,North Macedonia,41.6086,21.7453,-5,-6,-9,-9,-3,-7,-9,-12,-11,-7,-2,1,0,-1,-3,-4,-4,-4,-4,-6,-9,-9,-8,-8,-4,0,3,1,2,-1,-3,0,2,2,4,0,-6,-5,-3,-4,-1,2,0,-1,2,1,-1,-1,0,1,0,-3,-3,-4,0,0,1,0,-1,-4,-3,2,4,7,0,0,6,5,2,2,0,3,5,4,3,1,-2,-2,-4,-1,2,3,-2,-1,1,2,3,5,4,2
,Norway,60.472,8.4689,-5,-3,-7,-12,-6,0,-4,-3,-8,-15,-5,-6,-9,-5,-5,-5,-1,-4,-9,0,-4,-9,-2,-6,-5,-4,-2,-9,-6,-12,-8,-2,-11,-15,-14,-7,-2,-7,-6,-3,-5,-9,-9,-12,-12,-5,-3,-3,-5,-10,-6,-5,-4,-9,-11,-12,-14,-14,-13,-10,-8,-6,-5,-7,-10,-13,-11,-1,-5,-5,-5,-8,-12,-15,-3,-6,-4,-6,-6,-11,-13,-12,-10,-8,0,0,-3,-11,-13,-10
,Oman,21.0,57.0,4,6,11,14,15,15,5,8,13,15,17,2,4,4,3,5,4,5,10,11,8,12,14,14,14,7,4,5,2,2,-4,5,10,6,0,2,10,12,9,11,12,13,9,2,5,2,1,8,11,9,10,16,16,14,13,13,13,8,2,6,7,13,11,0,2,9,10,10,8,2,6,9,5,2,10,14,13,13,15,18,18,19,14,2,-1,-2,9,15,16,20
,Pakistan,30.3753,69.3451,-6,-4,-2,-4,1,4,0,-10,-12,-7,-4,1,-1,-4,-4,-8,-12,-11,-9,-3,0,-1,-6,0,2,0,1,-4,-8,-6,-7,-12,-6,-1,-8,-3,-13,-16,-11,-4,0,0,0,-4,-19,-18,-22,-21,-17,-11,-6,0,3,2,1,-5,-5,2,6,2,4,2,5,5,4,5,1,-3,2,2,5,3,3,1,2,3,3,2,3,5,5,6,11,8,7,9,8,2,1,9
,Panama,8.538,-80.7821,19,19,19,19,18,19,19,19,19,20,19,19,20,20,20,19,20,20,21,20,20,19,19,19,19,19,18,18,19,19,18,18,19,20,19,20,19,18,18,19,18,19,19,19,19,19,19,19,20,20,20,19,19,18,17,17,17,18,19,18,18,18,18,19,18,18,19,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,19,18,18,18,17,18,18
,Papua New Guinea,-6.315,143.9555,16,15,16,16,15,15,15,16,15,15,15,15,14,14,14,14,12,13,13,14,15,15,15,16,16,15,15,15,16,15,13,15,15,15,15,15,14,15,15,14,15,15,15,15,15,13,13,14,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,15,14,14,15,15,15,15,16,15,15,16,16,16,16,15,16,16,16,16
,Paraguay,-23.4425,-58.4438,22,22,18,19,16,16,19,22,24,23,23,24,25,24,23,22,23,24,24,24,23,23,24,22,20,17,16,17,18,22,23,21,22,23,23,23,23,23,25,23,23,23,19,22,23,23,24,23,22,22,24,24,16,9,10,15,22,19,9,12,13,14,15,16,13,12,11,11,15,16,14,13,13,18,18,16,21,22,22,24,16,12,12,15,13,16,18,19,22,23
,Peru,-9.19,-75.0152,24,24,22,23,23,24,22,23,22,21,22,21,21,21,20,23,22,22,22,22,22,22,23,23,23,22,22,22,24,23,22,23,22,22,24,24,23,24,24,21,24,23,23,22,22,23,23,23,21,22,23,22,23,23,21,22,23,24,23,23,24,23,21,22,23,22,23,22,23,23,22,22,22,22,22,23,24,22,22,21,23,22,22,22,22,21,22,24,24,23
,Philippines,13.0,122.0,24,24,23,23,23,24,24,24,23,23,22,22,23,23,24,24,24,25,23,22,20,21,21,24,24,24,24,23,23,22,22,21,20,19,20,22,24,25,24,24,21,21,21,23,23,23,23,23,22,22,21,22,22,23,23,22,23,23,23,22,22,22,23,23,23,24,24,24,25,25,25,23,23,23,23,23,24,23,23,24,24,24,23,23,22,22,23,24,24,23
,Poland,51.9194,19.1451,0,-5,-4,1,-4,-2,-3,0,3,4,2,-1,0,-1,-2,0,-1,0,0,-2,-3,0,-1,-3,-3,-3,-1,0,0,1,4,7,4,2,3,-3,0,-5,-8,-2,2,0,-1,-2,1,0,0,2,1,0,0,0,0,3,1,5,2,0,0,-1,1,3,3,0,-1,0,2,0,0,2,4,5,0,-5,-9,-5,2,4,5,4,-3,-8,-10,-10,-9,-4,-1,-2,0,-6
,Portugal,39.3999,-8.2245,4,4,6,5,3,2,2,0,7,2,0,0,2,6,11,10,8,11,3,-5,0,4,7,7,7,5,9,11,10,11,13,13,12,11,9,7,6,8,10,8,9,9,9,9,8,8,8,9,4,3,5,5,3,3,5,8,5,6,4,9,12,8,10,11,9,5,4,6,6,8,10,11,10,8,7,2,3,8,7,10,7,6,8,7,8,7,4,4,6,7
,Qatar,25.3548,51.1839,12,11,12,6,14,10,10,8,12,16,8,4,2,2,6,9,9,10,6,11,8,9,11,6,4,3,6,8,6,2,4,5,8,6,7,8,5,0,8,12,8,6,2,6,7,7,9,10,7,6,9,11,9,15,14,14,9,7,10,9,7,11,8,7,8,5,3,5,9,10,7,2,5,6,4,11,15,15,16,10,17,15,5,5,4,10,12,11,13,6
,Romania,45.9432,24.9668,-5,-6,-8,-8,-4,-9,-12,-12,-11,-4,-5,-4,-5,-6,-7,-8,-6,-9,-9,-7,-7,-8,-6,-8,-7,-1,-1,0,-2,-3,-1,3,2,3,2,-1,-10,-5,-13,-10,-4,-1,-3,-4,-5,-1,-4,-3,0,0,-1,-2,-3,-2,0,-3,0,0,-3,-3,-3,0,2,4,1,0,0,4,4,4,2,4,4,-1,-6,-16,-12,-5,-3,0,2,1,-4,-12,-13,-6,-4,-4,-2,0
,Russia,60.0,90.0,-19,-9,-6,-13,-8,-9,-10,-11,-17,-20,-21,-20,-18,-15,-11,-10,-12,-15,-19,-25,-25,-31,-21,-7,-4,-11,-13,-7,-10,-26,-29,-35,-33,-25,-21,-16,-7,-7,-11,-8,-21,-20,-16,-16,-14,-12,-15,-13,-9,-10,-6,-5,-6,-8,-16,-17,-16,-16,-11,-9,-12,-11,-9,-8,-8,-16,-24,-12,-4,-8,-9,-3,-1,-4,0,0,-14,-7,-8,-4,0,0,-15,-19,-7,-5,-4,-4,-5,-1
,Rwanda,-1.9403,29.8739,14,13,13,15,14,14,15,15,15,15,15,15,16,15,14,15,16,16,17,15,15,15,16,17,15,14,15,17,17,16,16,16,16,16,17,17,17,15,14,12,9,10,14,15,13,15,14,14,16,15,15,15,15,15,16,17,17,15,16,16,17,17,16,17,17,16,15,17,17,18,17,17,17,16,15,17,17,17,17,16,17,15,15,15,16,14,16,16,15,15
,Saint Lucia,13.9094,-60.9789,23,23,23,23,23,23,23,22,23,23,22,23,23,22,23,23,23,23,23,22,22,22,23,23,23,23,22,22,22,23,23,23,23,23,22,21,22,23,22,23,23,22,23,23,22,22,22,22,23,23,23,21,21,21,23,23,23,23,22,22,22,21,21,22,22,21,22,21,21,21,22,22,22,23,23,22,21,22,22,22,22,23,23,22,22,22,22,22,22,23
,Saint Vincent and the Grenadines,12.9843,-61.2872,23,23,22,22,22,22,23,22,23,23,22,23,22,22,23,23,23,23,23,22,23,23,23,23,24,23,22,22,23,23,23,23,23,23,22,21,22,22,22,22,22,22,22,23,22,22,22,22,23,23,23,21,21,21,23,23,23,22,22,22,21,21,21,22,22,21,21,22,21,21,22,21,22,23,23,22,22,22,22,22,22,22,23,22,22,22,21,22,22,23
,San Marino,43.9424,12.4578,-1,1,0,4,0,-1,0,0,-1,2,2,2,1,0,2,2,2,4,1,0,1,2,2,2,5,4,4,5,3,3,6,8,8,9,3,-6,-8,-9,0,1,6,6,1,1,4,1,1,4,6,5,0,0,2,4,7,6,2,-1,-3,-3,6,5,3,3,1,3,4,0,0,2,3,7,8,6,0,1,4,3,5,6,6,4,-7,-5,-1,2,4,4,3,4
,Saudi Arabia,24.0,45.0,6,5,6,9,4,0,4,7,-4,-5,-3,-4,-9,-6,-11,-8,-2,-6,3,0,2,-3,-4,-6,-4,-7,-7,-14,-8,-4,-5,0,-9,-13,-3,1,0,0,7,-3,-2,-3,-10,-15,-15,-20,-18,-17,-19,-12,0,-2,1,8,4,0,-6,-2,-5,-1,-9,-7,-15,-16,-11,-6,-13,-6,-3,-7,-12,-12,-16,0,1,1,4,-2,-13,-7,-18,-14,-16,-18,-13,-13,-13,-4,0,2
,Senegal,14.4974,-14.4524,-16,-18,-18,-18,-17,-15,-16,-15,-17,-17,-14,-17,-17,-11,-18,-22,-20,-16,-13,-11,-8,-8,-4,4,-5,-9,-11,-14,-16,-13,-14,-15,0,-2,-17,-22,-20,-19,-19,-15,-15,-15,-5,-6,-13,-10,-12,-13,-15,-13,-12,-10,-7,2,-4,-14,-12,-14,-19,-23,-24,-22,-21,-21,-21,-18,-17,-11,-16,-14,-14,-15,-14,-13,-4,-8,-10,-3,-1,-3,-3,-4,0,2,-7,-8,5,3,0,0
,Serbia,44.0165,21.0059,-3,-3,-6,-5,-2,-6,-7,-8,-7,-5,-2,-2,-2,-2,-1,-2,-2,-4,-4,-4,-5,-6,-5,-7,-2,1,2,1,1,-1,-2,3,4,4,4,-1,-8,-2,-5,-3,0,3,0,-1,1,1,0,0,2,0,0,-2,-2,-2,0,0,2,0,-1,-3,-1,3,5,5,-1,1,4,1,1,3,3,6,5,0,-1,-5,-3,-2,-3,-1,0,-2,-10,-4,-3,0,0,0,2,0
,Seychelles,-4.6796,55.492,24,24,24,24,24,24,24,24,24,25,24,25,25,25,24,24,25,24,25,25,24,25,25,26,25,25,25,25,25,24,24,24,24,25,24,24,25,25,25,25,25,25,25,24,23,23,25,25,24,25,25,25,25,26,25,25,25,24,25,25,25,25,24,25,25,25,25,24,24,23,23,23,24,24,23,24,24,23,23,23,24,24,24,25,24,25,24,24,24,24
,Singapore,1.2833,103.8333,25,26,26,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,26,26,25,24,24,25,26,26,26,25,25,25,25,24,24,24,24,24,23,25,25,26,26,26,26,25,25,25,25,25,25,25,25,25,26,25,25,25,25,24,24,25,25,26,26,26,26,26,26,26,26,26,25,26,26,26,25,25,25,25,26,26,26,26,26,26,26,26,25,25
,Slovakia,48.669,19.699,-5,-13,-10,-3,-8,-11,-10,-7,-3,-4,-2,-3,-3,-4,-5,-3,-2,-5,-6,-5,-7,-8,-6,-7,-7,-7,-2,-3,-4,-4,0,3,1,2,0,-8,-8,-4,-7,-7,-1,-3,-6,-5,-1,-2,-1,0,0,-3,-5,-4,-4,1,-3,0,0,-6,-5,-5,-1,0,2,-1,-4,-1,-1,-3,-3,-2,3,4,-1,-7,-13,-8,-3,0,2,3,0,-13,-12,-14,-13,-6,-2,0,0,-8
,Slovenia,46.1512,14.9955,-4,-5,-5,-3,-4,-7,-9,-6,-5,-1,-1,-2,-3,-1,0,-1,-2,-1,-2,-3,-4,-6,-5,-5,0,2,1,4,1,0,2,4,4,5,2,-6,-9,-7,-4,-2,4,4,0,0,1,0,0,3,5,1,-3,-5,-3,2,3,4,3,-2,-5,-3,5,5,5,0,-1,2,1,-2,0,0,3,4,5,2,-4,-5,0,4,3,4,4,-4,-13,-8,-4,-1,1,1,3,0
,Somalia,5.1521,46.1996,19,19,17,16,19,20,20,17,15,17,19,21,19,18,12,5,8,15,15,15,17,18,19,21,20,19,18,16,15,12,13,14,16,14,14,14,11,11,12,13,16,17,15,15,17,18,18,15,17,18,18,17,17,15,16,19,15,14,11,11,13,13,15,12,13,17,17,17,19,16,14,16,17,18,20,21,18,18,21,21,20,19,21,21,22,23,22,20,20,22
,South Africa,-30.5595,22.9375,0,-5,0,-3,-8,-2,12,16,6,5,3,4,8,7,1,0,3,10,8,1,-5,1,2,2,2,0,-7,-13,-15,-2,-5,6,8,5,7,8,12,13,14,13,5,3,6,4,-9,1,15,14,16,16,16,14,1,4,0,5,12,16,10,10,14,13,10,8,7,7,3,4,9,13,13,12,10,2,1,8,12,13,5,-9,-1,6,8,-4,-7,2,-6,-7,-7,4
,Spain,40.0,-4.0,0,0,0,0,-1,-2,-3,-3,1,-1,-2,-4,-3,-1,2,3,4,5,-2,-8,0,3,2,3,5,4,3,8,8,6,9,10,9,7,5,0,3,4,5,4,7,7,8,7,5,4,5,7,4,1,0,-3,-4,-2,-1,2,1,1,0,5,7,4,5,9,6,0,0,1,1,2,6,7,8,8,7,3,5,6,5,6,5,4,7,6,4,-2,0,0,0,1
,Sri Lanka,7.0,81.0,19,20,20,19,18,19,19,19,16,15,18,19,17,15,14,17,19,19,19,20,20,20,20,20,19,18,15,13,14,13,13,15,17,18,19,19,19,17,16,15,15,18,20,20,20,20,19,18,13,15,18,21,20,20,20,20,19,17,17,18,18,19,16,13,15,19,20,19,18,18,15,17,15,15,18,20,20,20,20,16,15,14,15,15,16,16,16,17,19,20
,Sudan,12.8628,30.2176,-2,-4,-8,-7,-7,-12,-9,-12,-10,-9,-11,-14,-5,-10,-3,-6,-4,-4,-2,-11,-12,-10,-13,-13,-12,-8,-5,-11,-10,-11,-5,-7,-10,-10,-14,-14,-13,-11,-8,-11,-12,-11,-12,-13,-9,-7,0,-2,-4,-3,-4,-11,-12,-12,-8,-7,-12,-10,-8,-15,-15,-14,-15,-18,-15,-9,-11,-13,-16,-17,-10,4,3,-4,-7,-13,-12,-11,-13,-20,-22,-15,-17,-17,-12,-12,-10,-8,-9,-12
,Suriname,3.9193,-56.0278,21,20,19,20,21,20,21,20,22,21,22,20,22,22,23,23,23,23,22,22,23,22,19,18,18,22,23,23,22,22,22,24,20,18,20,22,21,19,19,18,19,20,23,21,22,21,20,23,21,21,20,20,20,21,24,23,22,19,18,18,20,20,20,19,21,22,19,19,20,18,19,19,19,20,20,21,20,22,21,21,22,20,21,21,22,20,22,23,23,24
,Sweden,63.0,16.0,-1,-1,-4,-8,-7,-2,-1,-1,-6,-9,-5,-3,-7,-3,-3,-3,-1,0,-3,0,-5,-5,-3,-5,-6,-1,-2,-1,-3,-2,-3,-1,-4,-8,-11,-4,-10,-2,-3,-1,0,-6,-8,-8,-9,-4,0,-2,-3,-6,-6,-2,-1,-5,-8,-10,-13,-13,-11,-10,-11,-10,-9,-6,-8,-7,-7,-1,0,-3,-1,-3,-11,-12,-3,-8,-3,-5,-4,-10,-10,-9,-7,-5,-1,-1,-2,-9,-9,-13
,Switzerland,46.8182,8.2275,-7,-6,-3,0,-6,-5,-5,-7,-3,-3,-5,-9,-9,-7,-4,-3,-4,-4,-8,-14,-8,-8,-9,-6,-3,-3,-3,-3,-3,-3,2,0,2,2,-3,-7,-9,-6,-6,-4,0,-2,-7,-5,-2,-4,-2,0,-3,-5,-4,-2,-2,0,1,-2,-6,-6,-6,-2,-1,-3,-5,-6,-2,-3,-5,-5,-2,-1,3,1,0,-2,-3,-1,0,2,2,1,2,0,-7,-11,-10,-8,-1,0,0,-4
,Taiwan*,23.7,121.0,7,2,3,5,6,7,4,1,4,6,5,5,2,-5,2,-1,4,4,3,1,0,1,7,7,9,11,4,6,4,-2,-14,-7,0,3,5,6,5,6,5,5,6,7,8,6,10,9,9,8,4,2,2,4,3,9,7,9,8,10,10,10,8,8,9,10,11,10,10,10,7,12,11,11,12,13,9,5,9,11,12,12,10,12,12,13,12,12,11,12,9,11
,Tanzania,-6.369,34.8888,19,18,17,18,17,18,19,19,20,19,19,18,18,19,20,20,19,19,18,19,19,19,19,20,20,19,19,19,19,18,19,19,19,19,18,19,18,18,17,16,17,19,20,19,19,19,18,18,19,18,18,19,20,19,20,20,19,19,19,19,19,19,19,18,19,19,19,20,20,19,20,20,20,19,19,20,19,19,19,18,18,18,19,19,19,19,20,19,19,19
,Thailand,15.0,101.0,19,19,18,18,17,17,15,16,17,16,19,19,18,19,18,18,19,15,16,17,18,19,21,20,21,18,15,15,15,15,14,14,14,17,19,19,19,19,15,15,16,17,19,21,21,11,15,16,14,15,14,13,14,14,11,8,13,11,17,21,22,22,22,21,22,22,22,19,17,17,17,19,20,22,23,23,22,23,22,22,23,21,21,20,21,20,20,21,20,21
,Togo,8.6195,0.8248,-6,-7,-8,-3,1,6,7,6,5,9,19,18,13,2,0,1,1,1,2,5,8,7,0,-7,-14,-13,-7,-4,-5,-17,-14,-10,-12,-14,-12,-7,-6,-6,-6,-3,7,-4,-11,-6,-6,-8,-7,1,12,3,10,4,3,4,-6,-8,0,13,12,6,13,21,21,20,15,19,18,19,21,21,21,17,22,22,17,18,19,21,21,22,22,22,22,22,21,21,20,21,22,22
,Trinidad and Tobago,10.6918,-61.2225,21,20,21,21,21,21,22,21,22,22,21,21,21,22,22,23,23,23,22,22,22,21,20,20,22,22,21,21,22,23,23,23,22,21,21,21,21,21,21,21,21,20,22,21,21,21,21,22,23,23,21,20,21,21,23,23,22,21,21,20,20,19,20,20,21,21,20,20,20,21,20,20,20,21,22,22,22,21,21,21,21,22,21,21,21,20,20,21,23,22
,Tunisia,34.0,9.0,0,0,0,-2,2,3,2,2,3,7,5,5,4,4,3,2,1,1,1,2,2,5,4,6,1,2,5,5,2,0,1,3,7,6,4,1,0,-2,-4,-5,-5,-7,-12,-4,-1,8,8,8,4,5,2,3,2,5,4,0,-2,2,0,-1,-6,3,0,-5,0,2,0,0,-1,2,4,4,1,2,8,10,11,11,9,11,11,8,9,10,7,-2,0,9,10,6
,Turkey,38.9637,35.2433,0,-3,-4,-3,-4,-6,-2,-1,-5,-7,-8,-6,-3,-7,-6,-7,-6,-7,-10,-7,-7,-9,-9,-10,-13,-11,-9,-3,0,0,-5,-5,-2,-3,1,1,2,0,-11,-15,-15,-15,-2,-1,-8,-6,-6,-9,-8,-5,-5,0,0,0,0,-4,-7,-3,0,1,-1,-5,-3,-4,-3,1,0,-2,-1,-3,-6,-1,5,4,5,1,-6,-6,-4,-2,-2,-1,-2,0,3,2,2,4,3,0
,Uganda,1.0,32.0,14,15,14,16,17,16,16,18,16,15,12,12,15,11,11,12,17,14,13,11,10,10,9,8,10,14,17,18,18,17,18,18,17,17,18,19,18,15,14,11,10,11,11,10,16,17,16,17,16,18,18,18,18,17,15,16,15,16,18,17,18,18,18,18,18,17,17,17,20,19,19,18,18,19,19,19,19,20,19,18,19,20,18,19,20,20,20,19,19,19
,Ukraine,48.3794,31.1656,-2,-4,-3,-3,0,-4,-8,-7,-5,-2,0,-3,-3,-2,-1,-1,-2,-4,-5,-6,-4,-3,-5,-5,-4,-2,-3,0,1,-1,-2,2,4,1,-1,0,-8,-9,-11,-9,-4,0,0,-2,-3,0,-3,-2,1,0,-1,-3,-5,-1,1,-2,2,2,-2,-3,-2,1,4,5,5,6,5,6,6,7,4,2,5,0,-9,-9,-6,-4,0,0,1,0,-8,-11,-10,-6,-4,-3,-2,0
,United Arab Emirates,24.0,54.0,10,17,11,7,12,15,12,11,9,16,14,10,11,7,9,8,9,7,6,10,12,8,12,14,11,8,10,11,10,8,7,7,8,11,10,11,13,12,8,7,14,13,9,10,11,12,13,9,7,7,4,15,17,18,16,11,11,11,14,15,12,12,14,10,13,13,13,12,13,12,9,10,8,1,-6,9,15,13,15,16,18,18,9,10,9,11,9,4,4,16
Bermuda,United Kingdom,32.3078,-64.7505,19,18,12,12,18,17,11,11,15,11,12,14,16,17,16,16,18,11,7,11,17,11,12,15,17,18,17,15,14,11,10,9,12,15,14,15,16,17,19,18,15,13,18,20,19,19,16,15,15,17,19,19,19,12,10,8,8,16,18,14,13,9,8,10,16,19,20,13,8,9,10,13,15,16,16,17,14,13,14,17,17,17,18,18,18,19,17,11,16,16
Cayman Islands,United Kingdom,19.3133,-81.2546,24,25,26,26,25,25,22,22,23,25,25,25,25,25,25,23,25,24,22,24,24,23,17,17,19,20,21,21,21,22,23,24,24,23,22,25,25,24,25,25,24,25,25,25,25,25,24,24,24,25,25,25,24,23,23,24,25,24,23,23,20,20,24,25,26,25,25,24,21,22,23,22,22,24,25,24,23,23,24,24,24,24,24,24,23,23,22,23,24,25
Channel Islands,United Kingdom,49.3723,-2.3644,6,7,6,4,3,5,9,10,9,3,5,6,7,9,6,7,4,2,1,1,1,3,3,3,5,7,6,1,4,9,9,8,9,7,3,3,2,4,5,8,4,2,3,6,7,9,8,3,4,5,4,4,8,9,8,3,1,3,6,3,3,3,2,6,6,3,6,6,5,10,9,2,3,7,6,3,4,6,7,7,5,3,3,4,1,1,4,4,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,10,10,9,8,10,10,10,10,9,8,8,9,9,8,8,9,10,12,8,5,7,9,10,11,10,9,8,10,10,10,9,12,12,12,11,12,10,11,12,12,12,11,12,12,11,12,11,12,13,12,11,11,11,11,11,11,10,10,10,11,12,13,10,12,12,8,6,9,8,10,10,10,12,13,13,6,8,13,12,12,10,10,10,11,10,10,10,10,10,10
Isle of Man,United Kingdom,54.2361,-4.5481,6,8,2,4,6,5,8,2,2,3,7,3,3,1,1,5,1,0,1,4,6,7,5,5,4,3,0,0,2,6,7,3,5,1,1,3,4,3,3,6,0,-1,0,2,5,5,1,1,1,3,1,5,1,0,3,0,0,0,4,1,0,0,1,1,0,1,6,3,4,5,3,0,2,5,2,2,6,1,0,0,0,0,3,5,5,5,3,0,-3,2
Montserrat,United Kingdom,16.7425,-62.1874,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,22,22,23,22,22,22,22,23,23,23,23,23,22,22,22,23,23,23,23,22,22,23,23,23,23,23,22,23,23,22,23,23,23,23,22,22,22,21,21,21,23,23,22,21,22,22,22,21,22,22,22,22,23,21,21,22,22,22,23,22,22,20,21,23,22,22,23,22,23,22,22,22,22,23,22
,United Kingdom,55.3781,-3.4360000000000004,3,6,0,3,5,4,6,0,0,0,6,0,1,0,0,3,0,-1,-1,1,4,6,4,4,3,2,0,0,1,4,6,3,2,0,0,0,1,-1,2,4,-1,-1,-2,0,1,3,0,1,0,1,1,3,0,0,0,0,-1,-2,0,1,0,0,0,-1,-1,-1,3,2,2,3,1,0,0,2,3,1,4,0,0,-2,-2,-2,-1,2,4,4,3,-2,-5,0
,Uruguay,-32.5228,-55.7658,23,20,17,16,16,16,16,10,12,18,21,18,13,13,18,23,9,8,12,17,20,22,19,17,16,16,18,15,13,18,18,14,16,17,17,19,20,21,21,21,13,11,13,15,15,21,21,22,23,18,15,10,7,9,12,13,13,8,10,12,14,14,14,14,15,13,14,14,16,16,19,18,19,19,21,17,14,15,20,16,14,12,13,14,17,17,18,18,19,20
,US,37.0902,-95.7129,-6,-2,4,0,-8,-4,-3,-6,-4,9,10,-7,-2,3,8,6,-8,1,-2,-8,-11,-7,0,1,-2,-1,1,1,0,-1,-1,0,-2,1,1,-1,-4,-6,-3,-2,5,-2,-1,0,-15,-13,0,2,9,-2,-4,-5,-10,-3,5,6,2,-4,-3,0,0,8,3,-1,0,-3,-5,-3,3,9,4,9,11,-1,3,2,6,7,14,16,0,-2,6,9,11,10,14,19,10,2
,Uzbekistan,41.3775,64.5853,-2,-1,-2,-2,-5,-5,-9,-8,-5,-4,-4,-5,-7,-8,-5,-5,-8,-8,-4,-3,-5,-8,-4,2,-2,-7,-6,-9,-7,-4,-3,-2,-2,1,0,0,-1,0,-4,1,0,-9,-1,-5,-3,-1,-4,-4,-7,-8,-6,0,1,0,1,4,5,-3,-4,0,4,4,-2,-3,-3,-4,-11,-12,-7,-3,-6,-7,-6,0,-2,0,0,2,1,4,5,2,-1,-12,-12,-12,-9,-11,-11,-2
,Venezuela,6.4238,-66.5897,19,19,17,16,17,16,16,17,18,17,18,17,17,17,18,19,20,20,20,19,20,20,19,18,18,16,17,19,19,19,20,20,19,19,17,16,17,17,17,16,16,15,18,18,18,18,16,15,18,20,18,17,19,19,20,20,20,18,17,17,18,20,18,16,13,16,19,20,19,16,18,19,20,20,20,19,18,18,19,18,18,17,18,20,19,18,17,16,18,19
,Vietnam,16.0,108.0,16,16,16,15,15,15,17,17,16,16,16,16,15,14,14,16,16,15,15,14,15,15,16,17,17,16,14,14,13,12,12,14,13,14,15,14,13,14,15,15,15,16,18,19,18,17,16,14,12,14,14,15,14,14,13,14,16,16,15,16,17,18,17,18,17,18,18,19,16,18,19,19,20,19,18,18,18,18,20,19,19,19,18,17,18,19,19,20,20,20
,Zambia,-15.4167,28.2833,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,20,20,20,20,20,19,18,16,16,15,15,17,16,18,18,18,17,17,18,19,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,20,20,19,17,17,18,18,17,17,17,18,17,16,17,17,17,17,17,18,19,17,19,19,18,17,17,17,16,17,16,16,16,16,17,17,15,15
,Zimbabwe,-20.0,30.0,17,15,12,6,9,9,15,20,20,19,20,20,19,19,20,19,20,21,22,18,16,15,15,16,16,12,14,18,16,14,14,15,14,14,18,18,19,19,20,20,20,19,18,18,19,20,21,20,18,18,16,17,19,20,17,15,14,14,13,17,15,15,16,15,15,14,16,17,16,15,16,17,18,17,15,16,17,16,15,15,12,12,14,14,11,9,17,17,13,11
Diamond Princess,Canada,0.0,0.0,24,24,24,22,21,23,24,23,24,25,25,24,24,25,24,25,26,25,25,24,24,25,25,25,25,24,25,25,25,25,25,24,24,24,24,24,24,24,25,25,24,24,25,24,24,26,25,25,24,25,25,25,26,26,25,25,25,26,26,26,26,26,25,26,25,25,25,25,26,25,25,25,26,26,25,25,25,25,25,25,25,25,26,24,24,23,24,25,24,25
,Dominica,15.415,-61.371,23,23,23,23,23,23,22,22,23,23,23,23,22,22,22,23,22,23,23,22,22,23,23,23,23,22,22,21,22,23,23,23,23,22,22,22,22,23,22,23,23,22,22,22,22,23,23,23,23,22,22,21,21,21,22,23,23,23,21,22,22,22,21,22,22,21,22,22,21,21,22,22,22,22,22,22,21,21,22,22,22,22,23,23,22,22,22,22,23,22
,Grenada,12.1165,-61.679,23,23,24,23,23,23,24,24,24,24,23,23,23,23,24,24,24,24,24,23,24,24,23,24,24,24,24,23,24,24,24,25,24,24,23,22,23,24,23,23,24,23,23,24,23,23,23,23,24,24,23,22,22,23,24,24,24,23,23,23,22,22,22,23,23,22,22,23,22,23,23,22,23,23,24,23,23,23,23,23,23,23,24,23,23,23,22,23,24,24
,Mozambique,-18.665695,35.529562,24,24,24,25,24,24,25,24,24,25,25,25,25,24,24,25,25,25,25,24,23,22,22,23,23,22,23,24,24,22,23,24,24,25,25,24,24,25,25,25,25,25,23,24,25,25,24,23,23,24,25,24,24,25,24,23,22,21,22,24,22,21,21,21,20,22,23,23,23,24,25,24,23,21,22,24,22,23,21,20,20,21,23,22,21,21,22,24,22,20
